"Zr" "N" "phylo"
0.289175491370156 13 "sp_1"
0.0241557909900969 40 "sp_2"
0.195136510763055 39 "sp_3"
0.0983123883292503 40 "sp_4"
0.137801519993824 66 "sp_5"
0.137105866417346 41 "sp_6"
-0.308019355791444 10 "sp_7"
0.212958749490767 18 "sp_8"
0.205815392553716 43 "sp_9"
0.14735187239897 32 "sp_10"
-0.0240603692765008 45 "sp_11"
0.0085946384965784 34 "sp_12"
-0.157924062862006 20 "sp_13"
0.265165227761851 79 "sp_14"
0.082961655828471 21 "sp_15"
0.214037690176068 62 "sp_16"
-0.295661749945875 20 "sp_17"
0.201197203760941 20 "sp_18"
0.339640819451344 16 "sp_19"
0.135613329004399 18 "sp_20"
0.0948498391666174 22 "sp_21"
-0.0284998400217358 21 "sp_22"
0.798371474574994 15 "sp_23"
0.447954929304248 11 "sp_24"
0.490065083840303 18 "sp_25"
0.0701467099598422 58 "sp_26"
-0.0053494176770795 33 "sp_27"
-0.0338600527316133 77 "sp_28"
0.00921687154122165 61 "sp_29"
0.219832788003622 11 "sp_30"
0.317961388014561 29 "sp_31"
0.270354583962524 20 "sp_32"
-0.2173665580953 21 "sp_33"
0.33888165859625 32 "sp_34"
-0.306039146833454 16 "sp_35"
0.0128944922425082 52 "sp_36"
0.0434755362067699 17 "sp_37"
-0.332114444329257 19 "sp_38"
0.192506551956502 121 "sp_39"
0.066044940780054 58 "sp_40"
0.10036243456731 35 "sp_41"
0.413156851933561 41 "sp_42"
0.322206920683133 22 "sp_43"
0.164422612762497 39 "sp_44"
0.237608888883893 22 "sp_45"
0.179938111649303 31 "sp_46"
0.384064655445228 44 "sp_47"
0.266322806031245 30 "sp_48"
0.397115131979034 19 "sp_49"
0.334152791728013 53 "sp_50"
-0.0120454789066132 12 "sp_51"
0.199399688762404 22 "sp_52"
0.445012406154405 48 "sp_53"
-0.0267964251260723 32 "sp_54"
0.205672813592284 15 "sp_55"
0.478117092070468 32 "sp_56"
0.0396332322341788 31 "sp_57"
-0.124454048502237 51 "sp_58"
-0.042099382128782 16 "sp_59"
0.143593527999296 64 "sp_60"
-0.104568782218566 66 "sp_61"
-0.155562431829623 11 "sp_62"
-0.00485686557774299 22 "sp_63"
0.0763040198088368 10 "sp_64"
0.236165713216778 18 "sp_65"
0.253530485219702 47 "sp_66"
0.419268998420398 21 "sp_67"
0.0437611491344094 32 "sp_68"
0.0121032641683524 11 "sp_69"
0.248257118076546 35 "sp_70"
0.58459781451918 14 "sp_71"
-0.032584170770377 72 "sp_72"
-0.0748350859810884 10 "sp_73"
-0.186907085106813 55 "sp_74"
0.532979146468276 13 "sp_75"
-0.101061563523052 33 "sp_76"
-0.0978411365380704 25 "sp_77"
0.962518049448456 12 "sp_78"
0.067425682947385 22 "sp_79"
0.0165124624171059 43 "sp_80"
-0.296374050121901 80 "sp_81"
0.103871035967338 30 "sp_82"
0.426931185091511 15 "sp_83"
0.202358699005286 34 "sp_84"
0.383760925883402 17 "sp_85"
0.29273394716945 73 "sp_86"
0.256937931618991 25 "sp_87"
0.103562684409946 22 "sp_88"
0.413469564638697 15 "sp_89"
0.139062897542752 73 "sp_90"
0.105347468760272 15 "sp_91"
-0.125530788160104 73 "sp_92"
-0.0549538560886261 14 "sp_93"
0.411385341840948 14 "sp_94"
0.828911991242655 13 "sp_95"
0.324470345870275 32 "sp_96"
0.292365774007537 21 "sp_97"
-0.169741664832009 10 "sp_98"
0.166025501994574 22 "sp_99"
-0.134118978370384 50 "sp_100"
0.413156209710482 11 "sp_101"
0.35531201247248 35 "sp_102"
0.162422526794585 20 "sp_103"
0.416801226593793 17 "sp_104"
0.382759331865383 14 "sp_105"
0.375242401176389 22 "sp_106"
0.796216213233002 15 "sp_107"
0.619260829829648 14 "sp_108"
0.111838356809393 28 "sp_109"
-0.135733825049763 11 "sp_110"
0.222835841195034 47 "sp_111"
0.13087460293884 13 "sp_112"
0.273504470394799 88 "sp_113"
-0.343486723701357 14 "sp_114"
-0.11934937999787 18 "sp_115"
0.152586546892226 77 "sp_116"
0.196472237037204 87 "sp_117"
-0.114422686289772 20 "sp_118"
-0.0809058940666725 14 "sp_119"
0.112744669143608 56 "sp_120"
0.310567294463588 50 "sp_121"
0.242409974432873 77 "sp_122"
0.258802056569417 126 "sp_123"
0.232552831243799 85 "sp_124"
0.164724975262042 31 "sp_125"
0.00979101886204309 20 "sp_126"
0.956320277010399 19 "sp_127"
0.416452672714012 32 "sp_128"
0.140251014005912 31 "sp_129"
0.212381474368636 22 "sp_130"
0.187178930015048 94 "sp_131"
0.131128292575353 40 "sp_132"
-0.233654907308766 14 "sp_133"
0.209044668434549 27 "sp_134"
0.121018061686414 77 "sp_135"
-0.182897953214223 30 "sp_136"
-0.243306744548935 75 "sp_137"
0.0696523858898756 38 "sp_138"
0.199648198205596 40 "sp_139"
0.266056350287194 67 "sp_140"
0.113343632423106 32 "sp_141"
0.116912204086694 109 "sp_142"
0.0327933448091009 22 "sp_143"
0.370010504953643 30 "sp_144"
0.389511935172548 24 "sp_145"
0.281132892139464 40 "sp_146"
0.476190572899841 50 "sp_147"
0.342774925313557 36 "sp_148"
0.163336087596206 106 "sp_149"
0.258426920650407 36 "sp_150"
0.214092636474957 28 "sp_151"
0.373739112888759 18 "sp_152"
0.290317005497211 12 "sp_153"
0.239839007541849 64 "sp_154"
-0.0777370939801494 18 "sp_155"
0.178746660307994 114 "sp_156"
0.507072862821849 38 "sp_157"
0.157265136661134 144 "sp_158"
0.31201342278432 25 "sp_159"
0.261306241966924 35 "sp_160"
0.289977928197746 27 "sp_161"
0.0647477572371488 36 "sp_162"
0.239132590061674 28 "sp_163"
-0.271140860159636 18 "sp_164"
0.249558408840116 12 "sp_165"
0.0925562910802971 41 "sp_166"
0.084477841598513 27 "sp_167"
-0.232617681156196 12 "sp_168"
0.378886555100054 57 "sp_169"
0.195973442635994 22 "sp_170"
0.095750323758628 52 "sp_171"
0.550522475504824 37 "sp_172"
0.218157723554798 47 "sp_173"
0.352998526594176 27 "sp_174"
0.674726023639685 23 "sp_175"
0.00276183637578184 52 "sp_176"
0.233188322818466 27 "sp_177"
0.360167205444617 35 "sp_178"
0.15204199313339 14 "sp_179"
0.149188942617961 21 "sp_180"
-0.0368475062091662 30 "sp_181"
