Species,IMILog10,MassLog10,Suspensory_relQuad,VCL_relQuad,RadiationHap1
Allenopithecus_nigroviridis,1.924279286,3.568201724,0,0,1
Alouatta_caraya,1.986771734,3.663229635,1,0,1
Alouatta_palliata,1.991226076,3.728353782,1,0,1
Aotus_trivirgatus,1.86923172,2.963787827,0,0,1
Arctocebus_calabarensis,1.949390007,2.563481085,0,0,0
Ateles_belzebuth,2.037426498,3.951628894,1,0,1
Ateles_fusciceps,2.012837225,3.944482672,1,0,1
Ateles_geoffroyi,2.021189299,3.872505899,1,0,1
Ateles_paniscus,2.021189299,3.942008053,1,0,1
Avahi_laniger,1.759667845,3.119255889,0,1,0
Brachyteles_arachnoides,2.017033339,3.975431809,1,0,1
Cacajao_calvus,1.919078092,3.459392488,0,0,1
Callicebus_donacophilus,1.875061263,2.903089987,0,0,1
Callicebus_hoffmannsi,1.875061263,2.963787827,0,0,1
Callicebus_moloch,1.86923172,2.934498451,0,0,1
Callicebus_personatus,1.86332286,3.139249218,0,0,1
Callicebus_torquatus,1.875061263,3.116275588,0,0,1
Callimico_goeldii,1.838849091,2.670245853,0,0,1
Callithrix_argentata,1.880813592,2.505149978,0,0,1
Callithrix_jacchus,1.875061263,2.372912003,0,0,1
Cebuella_pygmaea,1.920123326,2.100370545,0,0,1
Cebus_albifrons,1.913813852,3.258637283,0,0,1
Cebus_apella,1.913813852,3.377488383,0,0,1
Cercocebus_albigena,1.892094603,3.753659647,0,0,1
Cercocebus_galeritus,1.924279286,3.73239376,0,0,1
Cercopithecus_aethiops,1.919078092,3.512817759,0,0,1
Cercopithecus_ascanius,1.897627091,3.51851394,0,0,1
Cercopithecus_cephus,1.897627091,3.462397998,0,0,1
Cercopithecus_diana,1.897627091,3.73239376,0,0,1
Cercopithecus_mitis,1.913813852,3.626443025,0,0,1
Cercopithecus_mona,1.934498451,3.436639632,0,0,1
Cercopithecus_neglectus,1.913813852,3.649140064,0,0,1
Cercopithecus_nictitans,1.913813852,3.610873,0,0,1
Cheirogaleus_major,1.854306042,2.547774705,0,0,0
Cheirogaleus_medius,1.832508913,2.255272505,0,0,0
Chiropotes_satanas,1.919078092,3.414973348,0,0,1
Colobus_guereza,1.897627091,3.931966115,0,0,1
Colobus_polykomos,1.892094603,3.919078092,0,0,1
Daubentonia_madagascariensis,1.851258349,3.410439786,0,0,0
Erythrocebus_patas,1.963787827,3.740362689,0,0,1
Euoticus_elegantulus,1.806179974,2.432969291,0,0,0
Galago_alleni,1.806179974,2.496929648,0,1,0
Galago_matschiei,1.77815125,2.322219295,0,1,0
Galago_moholi,1.711807229,2.274157849,0,1,0
Galago_senegalensis,1.716003344,2.285557309,0,1,0
Galagoides_demidoff,1.829303773,1.838849091,0,0,0
Galagoides_zanzibaricus,1.766412847,2.136720567,0,0,0
Gorilla_gorilla,2.063708559,4.927370363,0,0,1
Hapalemur_griseus,1.808885867,2.950364854,0,1,0
Hapalemur_simus,1.812913357,3.33243846,0,1,0
Homo_sapiens,1.857332496,4.740362689,0,0,1
Hylobates_agilis,2.08278537,3.77633791,1,0,1
Hylobates_concolor,2.146128036,3.829303773,1,0,1
Hylobates_hoolock,2.11058971,3.785329835,1,0,1
Hylobates_klossii,2.100370545,3.763427994,1,0,1
Hylobates_lar,2.112939976,3.748188027,1,0,1
Hylobates_moloch,2.103803721,3.755874856,1,0,1
Hylobates_muelleri,2.11058971,3.755874856,1,0,1
Hylobates_syndactylus,2.167317335,4.024074987,1,0,1
Indri_indri,1.808210973,3.853393977,0,1,0
