species,AVG SVL,AVG hl,AVG hw,AVG hh,AVG ljl,AVG outlever,AVG jugal to symphysis,AVG femur,AVG tibia,AVG met,AVG ltoe IV,AVG toe IV lam width,AVG humerus,AVG radius,AVG lfing IV,AVG fing IV lam width,AVG pelv ht,AVG pelv wd,Foot Lam num,Hand Lam num,Avg lnSVL2,Avg ln t1
ahli,4.039125443,2.882656889,2.35612586,2.131599046,2.85474458,2.754933787,2.538052394,2.741377514,2.686031787,2.254619589,2.553343811,0.179539914,2.460727794,2.268511113,1.943287666,0.075416639,1.987646012,1.709584861,3.279599507,2.866196912,3.939014626,4.406651696
alayoni,3.815704818,2.702115962,1.990610328,1.751588305,2.708966448,2.617851933,2.371994544,2.065120737,2.016401897,1.535253014,1.875257738,0.048790164,1.947872508,1.687093157,1.40302856,-0.073915683,1.507128294,1.419487328,3.432372109,3.075269258,3.743863026,4.002787513
alfaroi,3.526654599,2.37815628,1.556037136,1.390037347,2.323857228,2.263844265,2.077564782,2.172476408,2.094945728,1.547562509,1.73254011,-0.536143432,1.628259667,1.401182974,1.040276712,-0.755022584,1.189366652,0.945849534,3.198016089,2.73386561,3.478775516,4.369447852
aliniger,4.036556538,2.898835836,2.366592223,2.046660052,2.903945878,2.828555454,2.596820644,2.475445366,2.344014903,1.867176109,2.256541154,0.490418814,2.298878231,2.091864062,1.702199393,0.315540401,1.867948608,1.752152015,3.582875089,3.156774023,3.933181119,4.441202883
allisoni,4.375390078,3.358956557,2.690338719,2.317309488,3.381306417,3.288401888,3.071148913,2.795144908,2.687734109,2.178155015,2.533696814,0.844078398,2.618550883,2.341565393,1.983412353,0.658383188,2.097301925,2.014236132,3.72118493,3.239211238,4.355581955,5.039850982
allogus,4.040138442,2.86102726,2.351275002,2.142107422,2.848330697,2.750403654,2.539320072,2.739174801,2.684476261,2.217313828,2.494900405,0.196259065,2.459993618,2.267176054,1.919010215,0.053291297,2.008425949,1.687567861,3.335989787,2.808270254,4.028862591,4.510920482
altitudinalis,3.842994419,2.852727579,2.192770227,1.94911928,2.833213344,2.753819935,2.561481814,2.109000344,2.002493,1.469025759,1.786746927,0.117783036,2.05508481,1.830178579,1.349371007,-0.00250313,1.735189118,1.545432582,3.511434043,3.198464828,3.868386196,4.192315436
alumina,3.588940722,2.417825216,1.610294688,1.45562051,2.392033973,2.304440513,2.104482526,2.230628651,2.18283584,1.743219274,1.991390664,-0.422030125,1.772770796,1.568020503,1.179972809,-0.642997397,1.232143681,1.033692743,3.364412814,2.694251627,3.589351958,4.667159932
alutaceus,3.554890814,2.434051856,1.657275242,1.512486386,2.400528167,2.31629074,2.132271155,2.151529618,2.118061113,1.643259461,1.86392508,-0.345311185,1.690833551,1.511825084,1.133335725,-0.455706325,1.216098984,0.973804638,3.331200762,2.782454845,3.549917043,4.549889689
angusticeps,3.788595498,2.69017714,1.941000156,1.685472599,2.696411303,2.607071605,2.401525041,2.043536753,1.954748526,1.498346722,1.813660733,-0.027518029,1.902320723,1.669457309,1.270161748,-0.14999267,1.396067873,1.357122984,3.315644331,2.865023888,3.792448185,4.175975338
