"","V1"
"Moringua_edwardsi","biting"
"Kaupichthys_nuchalis","biting"
"Gorgasia_taiwanensis","suction feeding"
"Heteroconger_hassi","suction feeding"
"Venefica_proboscidea","biting"
"Anguilla_rostrata","suction feeding"
"Anguilla_anguilla","suction feeding"
"Anguilla_bicolor","suction feeding"
"Anguilla_japonica","suction feeding"
"Serrivomer_beanii","biting"
"Nemichthys_scolopaceus","biting"
"Kaupichthys_hyoproroides","biting"
"Synaphobranchus_kaupii","biting"
"Dysomma_anguillare","biting"
"Simenchelys_parasitica","suction feeding"
"Gnathophis_longicauda","suction feeding"
"Facciolella_gilbertii","biting"
"Nettastoma_melanurum","biting"
"Gavialiceps_taeniola","biting"
"Uroconger_lepturus","suction feeding"
"Bathyuroconger_vicinus","biting"
"Rhynchoconger_flavus","suction feeding"
"Saurenchelys_fierasfer","biting"
"Myrophis_vafer","biting"
"Conger_verreaxi","suction feeding"
"Conger_wilsoni","suction feeding"
"Conger_myriaster","suction feeding"
"Conger_japonicus","suction feeding"
"Scolecenchelys_breviceps","suction feeding"
"Myrichthys_maculosus","suction feeding"
"Ophichthus_zophochir","suction feeding"
"Ophichthus_serpentinus","suction feeding"
"Myrichthys_breviceps","suction feeding"
"Brachysomophis_crocodilinus","biting"
"Pisodonophis_cancrivorus","biting"
"Ichthyapus_ophioneus","biting"
"Myrichthys_magnificus","suction feeding"
"Oxyconger_leptognathus","biting"
"Gymnothorax_moringa","biting"
"Gymnothorax_castaneus","biting"
"Gymnothorax_pseudothyrsoideus","biting"
"Rhinomuraena_quaesita","biting"
"Gymnothorax_reticularis","biting"
"Gymnothorax_kidako","biting"
"Gymnothorax_flavimarginatus","biting"
"Uropterygius_micropterus","biting"
"Scuticaria_tigrina","biting"
"Congresox_talabonoides","suction feeding"
"Muraenesox_bagio","biting"
"Muraenesox_cinereus","biting"
"Cynoponticus_ferox","biting"
"Ariosoma_anago","suction feeding"
"Parabathymyrus_macrophthalmus","suction feeding"
"Ariosoma_balearicum","suction feeding"
"Poeciloconger_kapala","suction feeding"
"Ariosoma_shiroanago","suction feeding"
"Serrivomer_sector","biting"
"Paraconger_notialis","suction feeding"
"Moringua_javanica","biting"
"Elops_saurus","suction feeding"
"Megalops_cyprinoides","suction feeding"
"Albula_vulpes","suction feeding"
