"species"	"body_mean"	"body_N"	"body_var"	"body_var.adj"	"body_se.adj"	"lg.body"	"lg.body_var.adj"	"brain_mean"	"brain_N"	"brain_var"	"brain_var.adj"	"brain_se.adj"	"lg.brain"	"lg.brain_var.adj"
"Allenopithecus_nigroviridis"	2920	1	NA	1694512.49251509	1301.73441704331	7.88870457865662	0.181268633211417	57	1	NA	44.6620176068939	6.68296473183077	4.03622488566365	0.0136527643417968
"Alouatta_caraya"	826	1	NA	135593.592294899	368.230352218416	6.62596045691527	0.181268633211417	45	1	NA	27.8364375666236	5.27602478828745	3.79983610759942	0.0136527643417968
"Alouatta_pigra"	6131.9	15	4439073.11428571	7472556.36272998	705.811890082619	8.7146788612159	0.0131621414996154	54.2126666666667	15	39.2808638095238	40.4008188661528	1.64115444867635	3.99245658034536	0.0009160062662516
"Alouatta_seniculus"	2471.5	6	1228667.5	1213948.60853443	449.805255737493	7.79628747391389	0.0325861176662452	41.4666666666667	6	124.766666666667	23.6367019183004	1.98480485683523	3.72374566947047	0.00228844433300049
"Aotus_trivirgatus"	635	6	80350	80135.7899927749	115.568010274452	6.43733194005957	0.0325861176662452	13.9216666666667	6	20.2597766666667	2.66422616500541	0.66636153412961	2.63230215737326	0.00228844433300049
"Ateles_belzebuth"	1870	1	NA	694963.963111748	833.644986257188	7.44305939324292	0.181268633211417	97.5	1	NA	130.676609687761	11.4313870412895	4.5730259958329	0.0136527643417968
"Ateles_fusciceps"	9026.5	2	37264.5	16192646.8760614	2845.40391474228	9.06055197673156	0.0947359952903039	113.6	2	46.0800000000001	177.396599180136	9.41797746812276	4.72925866541869	0.00684968173671272
"Ateles_geoffroyi"	3462.88888888889	18	6269304.92810457	2383176.37980484	363.866304797429	8.14436823527819	0.0109804467822945	92.3166666666667	18	315.412058823529	117.151770552536	2.5511628127901	4.52484299740504	0.000763396811924323
"Ateles_paniscus"	3950.57142857143	7	3375535.61904762	3101693.70793236	665.656894453287	8.26761777955606	0.0279954666743764	103.485714285714	7	205.651428571429	147.214107497013	4.58591177251455	4.63845265486864	0.00196184417060939
"Avahi_laniger"	941	5	33942.5	175977.976213261	187.604891307909	6.82745422500028	0.0389778291701997	10.022	5	0.70607	1.38069395655677	0.525489097233571	2.30340992382115	0.00274550543276992
"Callicebus_moloch"	670	1	NA	89213.1096230557	298.685636787335	6.4166433957793	0.181268633211417	17.65	1	NA	4.28230944288815	2.06937416696163	2.86390940120841	0.0136527643417968
"Callithrix_jacchus"	240.386666666667	15	2519.54980952381	11484.1755530969	27.6696892562926	5.47566766725608	0.0131621414996154	7.78	15	0.389857142857143	0.83204692721364	0.235520264834209	2.05109833505717	0.0009160062662516
"Callithrix_penicillata"	206	1	NA	8433.60997987078	91.8346883256582	5.23724185218387	0.181268633211417	8	1	NA	0.879768890994524	0.937959962362213	2.07261515950894	0.0136527643417968
"Cebus_albifrons"	1032.5	2	255612.5	211864.987960779	325.472723865441	6.89237032719004	0.0947359952903039	68.9	2	237.62	65.256994953408	5.71213598198642	4.22923133715126	0.00684968173671272
"Cebus_apella"	1401.17647058824	17	185711.029411765	390179.765690131	151.498352872066	7.23925619088152	0.0116226159431003	60.7176470588235	17	56.7052941176471	50.6778864160635	1.7265723680522	4.1058302394768	0.000808284363210961
"Cebus_capucinus"	1210.90909090909	33	284821.960227273	291408.457050856	93.9710556744543	7.0961245331548	0.00600427628241197	65.5912121212121	33	53.1733609848485	59.139812122192	1.33869918908405	4.18323349015742	0.00041647050417331
"Cercocebus_galeritus"	38700	3	3501070000	297646652.152716	9960.70031260714	10.5315229766667	0.0641438047024111	106.283333333333	3	240.190833333333	155.281229216017	7.19447077544084	4.66382265227145	0.00457166364343395
"Cercocebus_torquatus"	3582.60714285714	14	1834555.08379121	2550806.10032033	426.849429819423	8.17679821733883	0.0140956984073843	102.262857142857	14	46.2951450549451	143.755500782994	3.20441103105206	4.6270558276518	0.000981403189296259
"Cercopithecus_albogularis"	1780	1	NA	629678.807150122	793.523035046949	7.39373432668042	0.181268633211417	55.7	1	NA	42.6480341659625	6.53054623794691	4.01315376476234	0.0136527643417968
"Cercopithecus_ascanius"	3173.07692307692	13	531923.076923077	2000968.59836182	392.327237663213	8.05487113549936	0.0151717976038537	64.1230769230769	13	52.4969230769231	56.5219757492177	2.08514850511933	4.16027588560582	0.00105685586349373
"Cercopithecus_cephus"	1915	1	NA	728813.869319248	853.705961862308	7.46683858500904	0.181268633211417	57.5	1	NA	45.4489983726663	6.74158722947841	4.04495856563241	0.0136527643417968
"Cercopithecus_hamlyni"	6000	1	NA	7154537.63963022	2674.79674734927	8.60888043160448	0.181268633211417	72.2	1	NA	71.6577260270609	8.46508866031897	4.27261366372788	0.0136527643417968
"Cercopithecus_lhoesti"	6600	2	7220000	8656990.54395256	2080.50361018103	8.74745693036937	0.0947359952903039	88.75	2	36.125	108.274291491782	7.3577948969709	4.48239858748717	0.00684968173671272
"Cercopithecus_mitis"	5440	8	5921371.42857143	5881347.91922669	857.419669650362	8.58926504212772	0.0245385954445342	69.1075	8	148.565592857143	65.6506441930012	2.86466935685869	4.23480485121943	0.00171682402910277
"Cercopithecus_mona"	2620.2	5	2947190.2	1364419.62264182	522.382929016984	7.85151701513447	0.0389778291701997	63.72	5	30.847	55.8136161615841	3.34106618197198	4.15312573232546	0.00274550543276992
