phen_pois	cofactor	phylo
NA	7.870283029	sp_1
NA	3.469052934	sp_2
NA	2.547877394	sp_3
14	18.22866281	sp_4
NA	2.530280552	sp_5
NA	0.514555946	sp_6
18	19.86685612	sp_7
NA	10.25361256	sp_8
0	14.97315686	sp_9
8	17.93743872	sp_10
NA	3.235647501	sp_11
NA	4.252790976	sp_12
NA	2.922204575	sp_13
NA	1.618965399	sp_14
3	13.09254631	sp_15
NA	5.828138441	sp_16
4	10.95668662	sp_17
NA	9.460917311	sp_18
1	10.67000007	sp_19
NA	2.006439646	sp_20
NA	9.087819476	sp_21
11	17.98192789	sp_22
NA	8.827602486	sp_23
12	17.81682238	sp_24
NA	9.115904002	sp_25
6	13.60758124	sp_26
13	19.63072009	sp_27
NA	1.95862792	sp_28
4	12.05035734	sp_29
3	12.24420539	sp_30
7	14.93459638	sp_31
8	15.82327121	sp_32
15	17.01655792	sp_33
8	11.67637249	sp_34
NA	1.080470975	sp_35
NA	6.433769092	sp_36
NA	1.790107097	sp_37
14	19.01306812	sp_38
NA	7.432941133	sp_39
NA	5.0331687	sp_40
NA	10.28355375	sp_41
10	14.55990965	sp_42
0	10.99374299	sp_43
9	17.95956947	sp_44
1	13.77816759	sp_45
NA	9.654585891	sp_46
NA	7.968763113	sp_47
0	11.82238846	sp_48
NA	1.173425792	sp_49
6	15.34928807	sp_50
2	12.38392353	sp_51
NA	7.132698069	sp_52
19	18.42122064	sp_53
NA	9.104233664	sp_54
NA	4.504750753	sp_55
8	17.50701521	sp_56
1	14.07153544	sp_57
NA	8.547654338	sp_58
NA	0.602433919	sp_59
1	12.91150812	sp_60
NA	2.164705428	sp_61
3	10.81753012	sp_62
0	13.90888977	sp_63
1	13.40872709	sp_64
10	17.43002768	sp_65
2	12.92681324	sp_66
5	15.02841324	sp_67
3	16.39080026	sp_68
2	13.15843089	sp_69
NA	6.111052837	sp_70
NA	6.716357563	sp_71
14	17.88099593	sp_72
NA	0.963065699	sp_73
14	19.66392044	sp_74
NA	9.355706465	sp_75
NA	3.414975959	sp_76
NA	4.19924181	sp_77
NA	8.70385597	sp_78
NA	4.024735931	sp_79
5	15.52410255	sp_80
NA	8.248798102	sp_81
6	13.46535274	sp_82
2	15.29737498	sp_83
19	19.71703013	sp_84
NA	0.059714429	sp_85
NA	9.515656419	sp_86
NA	4.222376477	sp_87
3	12.21704243	sp_88
14	17.61551988	sp_89
6	16.27435722	sp_90
3	13.37773975	sp_91
11	15.08370302	sp_92
NA	0.886647915	sp_93
12	18.13927888	sp_94
NA	10.35738245	sp_95
8	15.61291214	sp_96
NA	7.057756572	sp_97
NA	9.834608701	sp_98
NA	0.814184607	sp_99
NA	1.400550543	sp_100
NA	1.375670037	sp_101
2	15.6567617	sp_102
NA	5.477109132	sp_103
4	17.73156828	sp_104
7	12.73767602	sp_105
NA	3.877568054	sp_106
18	19.65743791	sp_107
7	18.09094077	sp_108
NA	6.32461491	sp_109
NA	5.249010157	sp_110
NA	3.933329093	sp_111
4	12.25231383	sp_112
4	14.76534141	sp_113
3	14.06673296	sp_114
4	14.63642928	sp_115
NA	0.982736335	sp_116
7	11.80943386	sp_117
3	15.01674283	sp_118
NA	2.934606262	sp_119
2	14.46255499	sp_120
NA	3.581974311	sp_121
NA	5.938450783	sp_122
4	15.01666832	sp_123
NA	8.665436786	sp_124
11	18.16336592	sp_125
NA	3.002298311	sp_126
NA	5.189033691	sp_127
NA	0.823425944	sp_128
16	19.40199159	sp_129
18	17.77085282	sp_130
NA	9.961184743	sp_131
NA	6.237055776	sp_132
6	15.7574088	sp_133
4	12.60876446	sp_134
0	11.55948188	sp_135
3	11.35551231	sp_136
9	15.81111229	sp_137
NA	3.330923263	sp_138
NA	1.015165164	sp_139
NA	8.536826158	sp_140
NA	5.40029123	sp_141
NA	1.626916798	sp_142
4	14.5319456	sp_143
NA	4.040879169	sp_144
NA	9.397136122	sp_145
6	12.44907946	sp_146
5	13.77951399	sp_147
NA	9.379877341	sp_148
9	18.63330306	sp_149
25	19.90021057	sp_150
5	14.19927249	sp_151
16	18.41593561	sp_152
3	12.58948458	sp_153
NA	10.65306427	sp_154
2	12.05483519	sp_155
4	12.38763801	sp_156
NA	1.799119716	sp_157
NA	1.116019185	sp_158
NA	0.371990544	sp_159
19	18.79145843	sp_160
3	15.2057594	sp_161
NA	4.215022288	sp_162
NA	10.26785161	sp_163
NA	7.006203807	sp_164
NA	10.49364011	sp_165
9	16.67384965	sp_166
7	18.06880045	sp_167
5	12.09539702	sp_168
25	18.96782554	sp_169
2	11.00598058	sp_170
NA	9.254037105	sp_171
NA	10.22160573	sp_172
NA	9.867362226	sp_173
NA	2.151979981	sp_174
2	10.91696921	sp_175
10	16.76353446	sp_176
NA	7.740320144	sp_177
5	13.81317127	sp_178
4	13.28708343	sp_179
2	12.40607668	sp_180
NA	0.68747553	sp_181
6	16.67429585	sp_182
1	11.33404111	sp_183
NA	1.976864631	sp_184
10	17.59224701	sp_185
NA	9.261457003	sp_186
NA	3.910448556	sp_187
NA	3.964433107	sp_188
NA	3.098292993	sp_189
15	15.84997165	sp_190
NA	7.850382994	sp_191
NA	7.230740013	sp_192
14	17.06802579	sp_193
NA	3.224243275	sp_194
NA	4.635983068	sp_195
7	16.11118978	sp_196
NA	6.622506473	sp_197
NA	0.037416401	sp_198
NA	0.883930447	sp_199
10	17.64101922	sp_200
