species	suborder	family	genus	body	lg.body	brain	lg.brain
Allenopithecus_nigroviridis	Haplorrhini	Cercopithecidae	Allenopithecus	2920	7.888704579	57	4.036224886
Alouatta_caraya	Haplorrhini	Atelidae	Alouatta	826	6.625960457	45	3.799836108
Alouatta_pigra	Haplorrhini	Atelidae	Alouatta	6131.9	8.714678861	54.21266667	3.99245658
Alouatta_seniculus	Haplorrhini	Atelidae	Alouatta	2471.5	7.796287474	41.46666667	3.723745669
Aotus_trivirgatus	Haplorrhini	Aotidae	Aotus	635	6.43733194	13.92166667	2.632302157
Ateles_belzebuth	Haplorrhini	Atelidae	Ateles	1870	7.443059393	97.5	4.573025996
Ateles_fusciceps	Haplorrhini	Atelidae	Ateles	9026.5	9.060551977	113.6	4.729258665
Ateles_geoffroyi	Haplorrhini	Atelidae	Ateles	3462.888889	8.144368235	92.31666667	4.524842997
Ateles_paniscus	Haplorrhini	Atelidae	Ateles	3950.571429	8.26761778	103.4857143	4.638452655
Avahi_laniger	Strepsirrhini	Indriidae	Avahi	941	6.827454225	10.022	2.303409924
Callicebus_moloch	Haplorrhini	Pitheciidae	Callicebus	670	6.416643396	17.65	2.863909401
Callithrix_jacchus	Haplorrhini	Cebidae	Callithrix	240.3866667	5.475667667	7.78	2.051098335
Callithrix_penicillata	Haplorrhini	Cebidae	Callithrix	206	5.237241852	8	2.07261516
Cebus_albifrons	Haplorrhini	Cebidae	Cebus	1032.5	6.892370327	68.9	4.229231337
Cebus_apella	Haplorrhini	Cebidae	Cebus	1401.176471	7.239256191	60.71764706	4.105830239
Cebus_capucinus	Haplorrhini	Cebidae	Cebus	1210.909091	7.096124533	65.59121212	4.18323349
Cercocebus_galeritus	Haplorrhini	Cercopithecidae	Cercocebus	38700	10.53152298	106.2833333	4.663822652
Cercocebus_torquatus	Haplorrhini	Cercopithecidae	Cercocebus	3582.607143	8.176798217	102.2628571	4.627055828
Cercopithecus_albogularis	Haplorrhini	Cercopithecidae	Cercopithecus	1780	7.393734327	55.7	4.013153765
Cercopithecus_ascanius	Haplorrhini	Cercopithecidae	Cercopithecus	3173.076923	8.054871135	64.12307692	4.160275886
Cercopithecus_cephus	Haplorrhini	Cercopithecidae	Cercopithecus	1915	7.466838585	57.5	4.044958566
Cercopithecus_hamlyni	Haplorrhini	Cercopithecidae	Cercopithecus	6000	8.608880432	72.2	4.272613664
Cercopithecus_lhoesti	Haplorrhini	Cercopithecidae	Cercopithecus	6600	8.74745693	88.75	4.482398587
Cercopithecus_mitis	Haplorrhini	Cercopithecidae	Cercopithecus	5440	8.589265042	69.1075	4.234804851
Cercopithecus_mona	Haplorrhini	Cercopithecidae	Cercopithecus	2620.2	7.851517015	63.72	4.153125732
Cheirogaleus_major	Strepsirrhini	Cheirogaleidae	Cheirogaleus	417.3333333	6.017592204	6.876666667	1.926989816
Cheirogaleus_medius	Strepsirrhini	Cheirogaleidae	Cheirogaleus	177	5.128781735	3.17	1.150306747
Chlorocebus_aethiops	Haplorrhini	Cercopithecidae	Chlorocebus	2940.382353	7.980483596	64.51117647	4.166434345
Chlorocebus_pygerythrus	Haplorrhini	Cercopithecidae	Chlorocebus	3828.333333	8.218112924	68.03333333	4.217711949
Chlorocebus_sabaeus	Haplorrhini	Cercopithecidae	Chlorocebus	1036	6.852488106	50	3.905196623
Colobus_guereza	Haplorrhini	Cercopithecidae	Colobus	6000	8.667442846	72.66666667	4.283596942
Colobus_polykomos	Haplorrhini	Cercopithecidae	Colobus	7475	8.871951401	81.4	4.395950432
Erythrocebus_patas	Haplorrhini	Cercopithecidae	Erythrocebus	3937.5	8.254056562	101.625	4.619574215
Eulemur_fulvus_fulvus	Strepsirrhini	Lemuridae	Eulemur	1337.142857	7.184292687	23.31428571	3.148085371
Eulemur_macaco_macaco	Strepsirrhini	Lemuridae	Eulemur	2034.5	7.57063737	23.65	3.159938274
Eulemur_mongoz	Strepsirrhini	Lemuridae	Eulemur	1436	7.237544847	22.25333333	3.100205978
Gorilla_gorilla_gorilla	Haplorrhini	Hominidae	Gorilla	111193.0556	11.61353299	495.8888889	6.205970189
