species	group.size	hr.size	body.size	longevity	mating.system	brain.size
Sucehtipocrec_siralugobla	9.4	37.12691518	1.89	38.53	uniM.uniF	14.21
Sucehtipocrec_suhpec	9	32.83034466	1.13	37.91	multiF.uniM	11.52
Sucehtipocrec_itseohl	5.8	31.53377056	1.11	40.28	uniM.uniF	8.62
Sucehtipocrec_anom	7.8	29.72726682	0.96	43.3	multiF.uniM	8.17
Sucehtipocrec_atsiruatep	3.4	32.18523499	1.02	43.38	multiF.uniM	7.24
Sucehtipocrec_issuerp	3.9	31.09577777	1.06	38.8	multiM.uniF	7.48
Subecorolhc_surhtyregyp	5.8	35.95317501	2.25	34.05	uniM.uniF	10.56
Subecorolhc_sulatnat	5.7	33.70514213	1.4	34.03	multiF.multiM	7.61
Sucehtipoim_niopalat	2.5	29.73821437	0.87	41.12	multiF.uniM	3.24
Subecolla_sitohcirt	26.9	76.32391691	5.6	21.93	multiF.multiM	29.42
Rumeloeahcra_irojam	25.5	72.09907206	5.1	17.7	multiF.multiM	26.11
Ihava_reginal	23.8	67.2337401	4.54	19.32	uniM.uniF	25.14
Ihava_silatnedicco	22	48.40973078	2.29	18.87	multiF.multiM	21.17
Suelagoriehc_iyelssorc	25	83.61754034	8.21	19.72	uniM.uniF	29.97
Suelagoriehc_rojam	21	81.41101812	10.91	23.17	uniM.uniF	28.28
Suelagoriehc_suidem	18.7	78.1232548	11.8	25	uniM.uniF	26.65
Ainotnebuad_sisneiracsagadam	26	34.4004266	1.09	14.11	uniM.uniF	24.09
Rumelue_retnevirbur	11.9	48.02506267	4.03	37.87	multiF.multiM	18.88
Rumelapah_sumis	12.3	39.43469571	2.06	40.74	multiF.multiM	13.93
Irdni_irdni	20.4	61.87520767	4.71	19.15	multiF.uniM	21.86
Rumelipel_silceea	22.1	68.26682669	5.76	19.25	multiF.uniM	26.25
Rumelipel_suniletsum	25.3	71.29583465	4.92	20.05	multiF.uniM	32.49
Rumelipel_ilosanairdnar	21.9	67.1472272	5.1	18.74	multiF.multiM	24.58
Rumelipel_sutaduacifur	27.6	71.02614111	3.97	17.46	uniM.uniF	27.67
Rumelipel_silanoirtnetpes	23.8	70.34806314	5.38	13.26	multiF.uniM	30.34
Subecorcim_eahtreb	21.5	44.6766415	1.92	21.27	multiF.uniM	20.13
Subecorcim_sisnevalognob	18.8	41.28338043	1.7	25.17	multiF.uniM	18.88
Subecorcim_sufuroesirg	24.9	49.69229052	2.21	22.79	uniM.uniF	23.79
Subecorcim_eaylloj	17.4	45.66111613	2.15	28.21	multiF.uniM	18.42
Subecorcim_sunixoym	22.5	50.50261964	2.29	22.35	multiF.uniM	20.74
Subecorcim_isnommis	17.2	52.06622773	3.41	26.64	multiF.multiM	21.09
Renahp_reficruf	26.8	50.5471744	2.07	20.92	uniM.uniF	22.51
Sucehtiporp_ilereuqoc	24.1	71.74819355	5.81	6.34	uniM.uniF	26.03
Sucehtiporp_illasrettat	22.2	71.86945265	5.98	4.8	multiF.uniM	24.74
Sucehtiporp_ixuaerrev	21.2	55.640284	3.11	5.4	uniM.uniF	20.21
Aicerav_arbur	5.9	32.23696322	1.7	36.41	uniM.uniF	11.74
Attauola_ayarac	19.7	29.14287759	0.88	24.77	multiF.uniM	15.54
Attauola_ataillap	19.2	31.82897371	0.95	25.42	uniM.uniF	15.36
Seleta_specicsuf	16.2	26.3242105	0.79	27.37	multiF.uniM	11.43
Seleta_sucsinap	14.9	22.07764764	0.57	26.57	uniM.uniF	8.07
Seletyhcarb_sedionhcara	21.6	32.00387249	1	26.89	multiF.uniM	12.83
Xirhtogal_ahcirtogal	22.4	23.73279643	0.74	30.45	multiF.multiM	11.91
Sutoa_sutalufni	13.2	15.29237339	0.29	26.33	multiF.multiM	6.92
Sutoa_specirgin	15.7	13.50627019	0.34	21.37	multiF.multiM	8.79
Xirhtillac_eailime	11.9	28.61767242	0.91	24.14	multiF.multiM	12.2
Xirhtillac_atallicinep	15.1	26.75349702	0.67	32.28	multiF.multiM	12.04
Xirhtillac_aeamgyp	13	22.2197718	0.59	28.25	multiF.multiM	9.37
Subec_snorfibla	29.5	1.605319108	0.39	23.57	multiF.multiM	17.83
Suniugas_xatsym	17.8	8.047478345	0.26	28.24	multiF.multiM	10.17
Suniugas_supideo	9	26.15688657	0.58	25.33	multiF.uniM	8.6
Suniugas_sutitrapirt	12.4	15.98711127	0.31	23.84	multiF.multiM	5.65
Irimias_sisneivilob	24	22.35260288	0.71	26.8	uniM.uniF	16.02
Sirol_sunairekkedyl	20.8	26.81315374	0.87	22.19	uniM.uniF	21.47
Sirol_sudargidrat	20.7	28.46566538	0.87	20.6	uniM.uniF	21.84
Subecitcyn_sisnelagneb	13.2	26.3781656	0.69	21.59	multiF.uniM	15.59
Subecitcyn_gnacuoc	13.7	28.42349793	0.8	21.51	uniM.uniF	16.72
Subecitcyn_sucinavaj	13.3	26.75066229	0.83	22.73	multiF.uniM	14.36
Subecitcyn_sisneganem	14	25.22879312	0.74	22.24	multiF.multiM	14.95
Omoh_sneipas	8.1	34.06544335	1.32	46.67	uniM.uniF	7.39
Setabolyh_irelleum	16.6	20.16126867	0.46	34.72	multiF.uniM	10.86
Sucsamon_ealleirbag	18.1	18.04070331	0.53	31.78	uniM.uniF	12.19
Sucsamon_sutusan	14.6	23.8982726	0.59	33.17	multiF.multiM	11.08
Sucsamon_ikis	17.8	24.4120271	0.64	31.22	uniM.uniF	12.5
Ognop_sueamgyp	6.5	25.95846817	0.4	40.07	multiF.uniM	2.33
Aicehtip_aicehtip	19.3	8.650967189	0.32	18.99	multiF.multiM	9.95
Acacam_sediotcra	2.6	27.43821476	0.37	34.35	multiF.uniM	0.99
Acacam_sipolcyc	4	27.19713902	0.52	36.49	multiF.multiM	2.8
Acacam_siralucicsaf	4.4	28.02835258	0.56	35.5	multiF.uniM	3.99
Acacam_ikceh	5.4	27.12459155	0.57	34.93	multiF.multiM	5.27
Acacam_attalum	6.2	28.65335009	0.68	34.11	uniM.uniF	7.93
Acacam_anirtsemen	5.5	27.20032943	0.55	33.59	multiF.uniM	3.65
Acacam_snecsergin	5.7	26.42678887	0.45	36.98	multiF.multiM	4.1
Acacam_sunelis	5.7	27.9007547	0.69	32.71	multiF.uniM	4.63
Acacam_sunavlys	3	30.94137909	1.11	38.59	uniM.uniF	6.25
Acacam_anaeknot	4	28.22725876	0.43	35.99	uniM.uniF	2.19
Oipap_sibuna	8.5	27.48419538	0.64	31.8	multiF.multiM	8.07
Oipap_sulahpeconyc	9.3	28.95325537	0.8	32.21	multiF.uniM	9.25
Oipap_sayrdamah	11.5	26.03626514	0.61	31.98	uniM.uniF	9.28
Oipap_sunisru	8.5	23.50767319	0.49	33.13	uniM.uniF	6.58
Subecewgnur_ijnupik	8.9	27.50962544	0.53	34.63	multiF.uniM	7.72
Suboloc_sisnelogna	8.6	16.95071775	0.2	27.09	uniM.uniF	0.1
Suboloc_susorellev	9.8	16.59367984	0.23	29.6	uniM.uniF	1.01
Subolocoilip_muronodrog	9.6	12.22352398	0.16	34.18	multiF.uniM	2.05
Subolocoilip_issuerp	16.2	1	0.18	32.86	multiF.uniM	4.54
Subolocoilip_sutartimofur	11.4	18.0847526	0.31	36.25	multiF.multiM	7.1
Subolocorp_surev	12.1	19.9507319	0.38	38.27	uniM.uniF	9.3
Xirhtagyp_aerenic	9.9	31.00366286	1.13	30.83	multiF.multiM	10.32
Xirhtagyp_sueamen	10.6	30.59926778	1.16	30.51	multiM.uniF	11
Sucehtiponihr_sulucnuva	12.1	22.80990283	0.47	34.21	multiF.multiM	7.32
Sucehtiponihr_ihcilerb	9.6	27.59308101	0.73	34.8	uniM.uniF	9.21
Sucehtipyhcart_iruocaled	7.9	20.34628255	0.23	35.16	uniM.uniF	1.67
Sucehtipyhcart_isiocnarf	9.8	15.8504809	0.25	30.91	multiF.uniM	4.22
Sucehtipyhcart_mutoal	6	20.08974287	0.22	35.01	uniM.uniF	0.39
Sucehtipyhcart_ieryahp	8.1	24.82598944	0.5	38.32	uniM.uniF	4.61
Sucitoue_sulutnagele	15.9	32.59131079	1.14	24.22	multiF.multiM	19.44
Ogalag_ieihcstam	18.6	37.06821613	1.33	29.68	multiF.uniM	21.77
Ogalag_sisnelagenes	15.8	45.01941467	2.32	28.72	multiF.multiM	23.61
Rumeloto_sutaduacissarc	19.2	7.367878707	0.31	33.99	multiF.uniM	12.97
Rumeloto_iittenrag	19.8	11.38085261	0.37	33.11	multiF.multiM	14.35
Suisrat_sunacnab	22.5	52.80415441	2.77	30.86	multiF.uniM	24.05
