species	body	brain
Allenopithecus_nigroviridis	2920	57
Alouatta_caraya	826	45
Alouatta_pigra	777	42.5
Alouatta_pigra	2310	52
Alouatta_pigra	4309	54.25
Alouatta_pigra	5670	44.28
Alouatta_pigra	5925	48
Alouatta_pigra	6577	54.05
Alouatta_pigra	6917	63.78
Alouatta_pigra	7031	53.13
Alouatta_pigra	7031	54.9
Alouatta_pigra	7257.5	56.7
Alouatta_pigra	7257.5	60.22
Alouatta_pigra	7484	56.7
Alouatta_pigra	7670	53.7
Alouatta_pigra	7824.5	65.53
Alouatta_pigra	7938	53.45
Alouatta_seniculus	1025	19
Alouatta_seniculus	1170	48.5
Alouatta_seniculus	2725	44
Alouatta_seniculus	2930	47
Alouatta_seniculus	3419	43.5
Alouatta_seniculus	3560	46.8
Aotus_trivirgatus	190	5
Aotus_trivirgatus	510	16
Aotus_trivirgatus	560	15.2
Aotus_trivirgatus	750	17.63
Aotus_trivirgatus	780	15.22
Aotus_trivirgatus	1020	14.48
Ateles_belzebuth	1870	97.5
Ateles_fusciceps	8890	118.4
Ateles_fusciceps	9163	108.8
Ateles_geoffroyi	512	64
Ateles_geoffroyi	680	64
Ateles_geoffroyi	860	64
Ateles_geoffroyi	1709	93
Ateles_geoffroyi	1835	91
Ateles_geoffroyi	1920	95.5
Ateles_geoffroyi	2155	95
Ateles_geoffroyi	2268	82
Ateles_geoffroyi	2268	94.5
Ateles_geoffroyi	2800	75
Ateles_geoffroyi	3062	111
Ateles_geoffroyi	3812	118.5
Ateles_geoffroyi	4160	80
Ateles_geoffroyi	4999	94.7
Ateles_geoffroyi	5143	110.6
Ateles_geoffroyi	7450	109
Ateles_geoffroyi	7787	117
Ateles_geoffroyi	8912	102.9
Ateles_paniscus	1854	126
Ateles_paniscus	2350	82
Ateles_paniscus	3500	115
Ateles_paniscus	3650	102
Ateles_paniscus	3900	93
Ateles_paniscus	5000	100
Ateles_paniscus	7400	106.4
Avahi_laniger	845	10.07
Avahi_laniger	855	9.34
Avahi_laniger	860	9.59
Avahi_laniger	875	9.66
Avahi_laniger	1270	11.45
Callithrix_jacchus	169.5	7.85
Callithrix_jacchus	172	7.1
Callithrix_jacchus	172	7.2
Callithrix_jacchus	204	7
Callithrix_jacchus	204	7.35
Callithrix_jacchus	218	7.77
Callithrix_jacchus	219	8.8
Callithrix_jacchus	238	7.51
Callithrix_jacchus	263.8	7.24
Callithrix_jacchus	270	9
Callithrix_jacchus	285	7.28
Callithrix_jacchus	285	8.1
Callithrix_jacchus	287.5	8
Callithrix_jacchus	298	8.5
Callithrix_jacchus	320	8
Callicebus_moloch	670	17.65
Callithrix_penicillata	206	8
Cebus_albifrons	675	58
Cebus_albifrons	1390	79.8
Cebus_apella	750	55
Cebus_apella	900	50
Cebus_apella	900	65
Cebus_apella	1050	60
Cebus_apella	1070	60.2
Cebus_apella	1100	50
Cebus_apella	1250	58
Cebus_apella	1300	60
Cebus_apella	1350	55
Cebus_apella	1400	50
Cebus_apella	1600	65
Cebus_apella	1650	65
Cebus_apella	1700	65
Cebus_apella	1700	68
Cebus_apella	1800	73
Cebus_apella	1900	58
Cebus_apella	2400	75
Cebus_capucinus	425	50
Cebus_capucinus	504	50
Cebus_capucinus	585	54
Cebus_capucinus	672	59
Cebus_capucinus	691	61
Cebus_capucinus	717	59.9
Cebus_capucinus	850	65
Cebus_capucinus	880	75
Cebus_capucinus	902	71
Cebus_capucinus	930	66
Cebus_capucinus	940	56
Cebus_capucinus	1021	75
Cebus_capucinus	1057	68.45
Cebus_capucinus	1073	58.5
Cebus_capucinus	1083	76
Cebus_capucinus	1117	60.4
Cebus_capucinus	1119	58
Cebus_capucinus	1126	68
Cebus_capucinus	1134	61
Cebus_capucinus	1205	69
Cebus_capucinus	1223	68
Cebus_capucinus	1247	65
Cebus_capucinus	1250	74
Cebus_capucinus	1252	60.8
Cebus_capucinus	1270	68.5
Cebus_capucinus	1370	69
Cebus_capucinus	1725	75.5
Cebus_capucinus	1750	72
Cebus_capucinus	1776	72
Cebus_capucinus	1812	70
Cebus_capucinus	1814	65
Cebus_capucinus	2718	71.6
Cebus_capucinus	2722	71.86
Cercopithecus_albogularis	1780	55.7
Cercopithecus_ascanius	1750	54.5
Cercopithecus_ascanius	2400	56.5
Cercopithecus_ascanius	2800	59.2
Cercopithecus_ascanius	2900	65.2
Cercopithecus_ascanius	3000	59.4
Cercopithecus_ascanius	3000	62.3
Cercopithecus_ascanius	3000	67
Cercopithecus_ascanius	3000	81.5
Cercopithecus_ascanius	3300	61.5
Cercopithecus_ascanius	3500	60.7
Cercopithecus_ascanius	4000	63.5
Cercopithecus_ascanius	4100	70.8
Cercopithecus_ascanius	4500	71.5
Cercopithecus_cephus	1915	57.5
Cercocebus_galeritus	3000	111.5
Cercocebus_galeritus	6100	88.85
Cercocebus_galeritus	107000	118.5
Cercopithecus_hamlyni	6000	72.2
Cercopithecus_lhoesti	4700	84.5
Cercopithecus_lhoesti	8500	93
Cercopithecus_mitis	1220	50.3
Cercopithecus_mitis	2900	61.46
Cercopithecus_mitis	4550	66.6
Cercopithecus_mitis	5250	56.5
Cercopithecus_mitis	7000	75
Cercopithecus_mitis	7100	82
Cercopithecus_mitis	7250	79.5
Cercopithecus_mitis	8250	81.5
Cercopithecus_mona	900	65.3
Cercopithecus_mona	1400	55
Cercopithecus_mona	2500	62
Cercopithecus_mona	3001	67
Cercopithecus_mona	5300	69.3
Cercocebus_torquatus	1398	105
Cercocebus_torquatus	2200	90.23
Cercocebus_torquatus	2300	98.78
Cercocebus_torquatus	2850	99.52
Cercocebus_torquatus	3100	101.05
Cercocebus_torquatus	3175	105
Cercocebus_torquatus	3250	98
Cercocebus_torquatus	3600	112.7
Cercocebus_torquatus	3629	112
Cercocebus_torquatus	3850	110
Cercocebus_torquatus	3855.5	108
Cercocebus_torquatus	4649	95
Cercocebus_torquatus	6100	95
