SP,BM,NL,LS,DD,RS
s1,-0.76690456,-2.017573981,-0.094767133,-0.792261887,-3.392696532
s2,-1.009704379,-1.742465922,-2.146334945,1.764320772,-1.046718911
s3,-1.225281228,-2.468553256,-0.632068429,-1.806155037,-2.859660611
s4,1.330535214,0.340559005,-0.13426489,0.948874128,-0.278689412
s5,2.492343687,1.224004747,0.608236202,1.624151256,0.220814157
s6,1.425148602,2.969226549,3.085533985,2.252422051,2.426804694
s7,0.356107422,2.011222803,1.223147978,4.108146451,1.633655726
s8,-0.531614218,0.184901739,0.517537813,-1.160995541,0.9994316
s9,-0.153733145,0.818092007,1.521502859,1.341758025,1.304985166
s10,1.111718756,1.243021844,1.017846421,0.570073147,0.720705268
s11,0.195794485,2.132826929,-0.919563025,2.828030732,2.001705516
s12,0.201250478,3.089727479,0.131015359,2.980595831,1.521314671
s13,1.522197092,2.962281985,1.163026706,1.359162717,2.162885763
s14,-1.003382513,1.866523222,0.92712601,1.848692884,1.583433981
s15,1.076896531,1.529063743,1.812639133,2.141254323,0.189198068
s16,1.615317484,3.572412657,3.347392203,1.560178083,2.781747914
s17,-0.174202855,0.431466545,0.90074236,-0.07393969,0.027354662
s18,2.907118956,3.252686329,-0.106852864,3.402771712,-0.457261541
s19,2.404530097,2.249812471,1.744751921,2.876235296,0.463291813
s20,0.828952029,1.203247811,-0.532153665,2.660581053,0.222790773
s21,2.642554595,3.864274953,-1.13866946,2.299374032,3.217700305
s22,-0.077199532,3.190266165,-0.621091021,1.993843377,2.765155326
s23,-0.304844081,3.510600914,0.469978073,2.443433385,2.335835676
s24,1.522587589,3.214353483,2.780465714,3.97902735,3.226436578
s25,1.238605731,2.043630085,3.576663764,2.034137013,0.942969691
s26,1.953432002,3.067389651,3.06508471,3.027626293,1.238032443
s27,1.686487191,4.220393968,1.534261968,3.714825776,1.176979136
s28,1.239343446,2.265079812,-0.21862695,0.675597786,2.317952086
s29,-1.102637192,-1.638923509,-1.239583231,-2.974709277,-1.76055476
s30,0.0830117,0.42665712,0.021198341,0.867846728,2.592129904
s31,1.01879042,0.038192496,-0.105135494,-1.320245499,0.23732057
s32,0.021677324,-0.37157709,0.271740269,-1.14337661,0.425657695
s33,0.730659349,1.952893844,3.162476646,3.123728954,1.116995185
s34,2.724073494,3.497840269,4.250866454,1.753272053,2.688262363
s35,3.766465548,4.498788751,2.943572655,1.210588042,1.223837757
s36,-2.337293264,1.749957734,1.895478114,0.909660193,2.451038343
s37,0.302059469,2.687776436,2.481719676,1.859861867,0.828466484
s38,-1.339604147,1.764344079,1.126178674,2.717730773,0.796806294
s39,4.276868302,3.218061897,1.465738306,4.477326061,2.610442179
s40,1.250680162,-0.712543139,1.791592125,2.277574874,0.484494584
s41,1.411553714,-0.435269046,0.729183055,1.593822132,1.454823177
s42,0.083938787,0.235911015,-0.885061737,2.322463839,0.204364321
s43,2.849641141,0.688165514,3.138543805,2.292615149,-1.41846169
s44,2.990953733,1.801451273,3.099199564,2.146223656,-0.184209303
s45,5.137496651,4.264734974,2.952789127,2.055324236,2.083887955
s46,2.588599249,1.569468206,4.701207454,2.486684424,1.457198741
s47,1.433848975,1.652422038,1.396442779,1.42099581,1.601339097
